002XX W ONTARIO ST,340
011XX N WESTERN AVE,340
049XX W FERDINAND ST,340
053XX W CHICAGO AVE,339
062XX S MICHIGAN AVE,339
0000X E ADAMS ST,338
011XX S FRANCISCO AVE,338
026XX E 79TH ST,338
033XX N WESTERN AVE,338
042XX W WILCOX ST,338
0000X E GARFIELD BLVD,336
006XX N STATE ST,336
016XX W 79TH ST,336
082XX S DREXEL AVE,336
014XX N MILWAUKEE AVE,335
048XX W JACKSON BLVD,334
052XX W NORTH AVE,334
057XX W MADISON ST,333
003XX N PINE AVE,332
029XX S STATE ST,332
043XX W WRIGHTWOOD AVE,332
016XX N HARLEM AVE,331
036XX W LAKE ST,330
037XX W GRENSHAW ST,330
048XX N FRANCISCO AVE,330
055XX W WASHINGTON BLVD,330
019XX W NORTH AVE,329
003XX S DEARBORN ST,328
034XX W CHICAGO AVE,328
063XX S ARTESIAN AVE,328
070XX S PULASKI RD,328
071XX S EAST END AVE,328
001XX W DIVISION ST,327
009XX N CAMBRIDGE AVE,327
028XX N CLARK ST,327
047XX S COTTAGE GROVE AVE,326
003XX N DEARBORN ST,325
032XX N HALSTED ST,325
036XX W DOUGLAS BLVD,325
015XX N PULASKI RD,324
034XX W FLOURNOY ST,324
039XX W GRENSHAW ST,324
002XX W NORTH AVE,323
009XX W ADDISON ST,323
049XX W NORTH AVE,323
061XX S WESTERN AVE,323
050XX W JACKSON BLVD,322
059XX W NORTH AVE,322
067XX S STONY ISLAND AVE,322
029XX W POLK ST,321
049XX W ADAMS ST,320
004XX N WABASH AVE,319
0000X W CHICAGO AVE,318
008XX W ADDISON ST,318
065XX S LOWE AVE,318
038XX W MADISON ST,317
045XX W WASHINGTON BLVD,317
002XX E PERSHING RD,316
010XX W WILSON AVE,316
079XX S INGLESIDE AVE,316
082XX S MARYLAND AVE,316
007XX N CENTRAL AVE,315
008XX E 63RD ST,315
047XX S DR MARTIN LUTHER KING JR DR,315
063XX W 56TH ST,315
065XX W DIVERSEY AVE,315
005XX W HARRISON ST,313
033XX W CHICAGO AVE,313
035XX E 114TH ST,313
070XX S COTTAGE GROVE AVE,313
082XX S INGLESIDE AVE,313
0000X W ILLINOIS ST,312
003XX E OHIO ST,312
094XX S ASHLAND AVE,312
027XX E 89TH ST,311
032XX W MAYPOLE AVE,311
039XX W LEXINGTON ST,311
078XX S MARSHFIELD AVE,311
0000X W CTA 95TH ST LN,310
001XX W JACKSON BLVD,310
013XX S INDEPENDENCE BLVD,310
012XX N CLYBOURN AVE,309
013XX S KARLOV AVE,309
053XX S PULASKI RD,309
112XX S WALLACE ST,309
068XX S DORCHESTER AVE,308
069XX S HALSTED ST,308
027XX S DEARBORN ST,307
048XX W ADAMS ST,307
079XX S ESSEX AVE,307
116XX S MICHIGAN AVE,307
075XX N PAULINA ST,306
089XX S COMMERCIAL AVE,306
050XX S BLACKSTONE AVE,305
071XX S VINCENNES AVE,304
007XX N HOMAN AVE,303
072XX S BENNETT AVE,303
087XX S COMMERCIAL AVE,303
110XX S MICHIGAN AVE,303
002XX E 35TH ST,302
013XX E 79TH ST,302
0000X E 75TH ST,301
012XX S AVERS AVE,301
030XX W LEXINGTON ST,301
070XX S CHAPPEL AVE,301
014XX W 63RD ST,300
002XX N COLUMBUS DR,299
003XX E GARFIELD BLVD,299
005XX N SPRINGFIELD AVE,299
038XX W NORTH AVE,299
040XX W MONROE ST,299
044XX N SHERIDAN RD,299
103XX S MICHIGAN AVE,299
002XX S WESTERN AVE,298
013XX N MILWAUKEE AVE,298
024XX N LINCOLN AVE,298
003XX N LARAMIE AVE,297
013XX N ASHLAND AVE,297
017XX E 67TH ST,297
006XX N HOMAN AVE,296
032XX W ROOSEVELT RD,296
118XX S MARSHFIELD AVE,296
002XX N PULASKI RD,295
048XX N SHERIDAN RD,295
058XX S MICHIGAN AVE,295
065XX S WESTERN AVE,295
076XX S HALSTED ST,295
064XX S STONY ISLAND AVE,294
014XX W LAKE ST,293
041XX W WASHINGTON BLVD,293
054XX W WASHINGTON BLVD,293
061XX S INDIANA AVE,293
008XX W 59TH ST,292
028XX W POLK ST,292
007XX S CICERO AVE,291
010XX N RIDGEWAY AVE,291
012XX S MICHIGAN AVE,291
025XX W 63RD ST,291
048XX W CHICAGO AVE,291
050XX W DIVISION ST,291
052XX W LAKE ST,291
055XX S ASHLAND AVE,291
061XX S EBERHART AVE,291
009XX W WILSON AVE,290
056XX S ROCKWELL ST,290
0000X W RANDOLPH ST,289
004XX N MICHIGAN AVE,289
020XX W 79TH ST,289
033XX W DOUGLAS BLVD,289
040XX N ASHLAND AVE,289
041XX S CALIFORNIA AVE,289
045XX W MADISON ST,288
013XX S LAWNDALE AVE,287
026XX S CALIFORNIA AVE,287
032XX N LECLAIRE AVE,287
068XX S STONY ISLAND AVE,287
016XX N MILWAUKEE AVE,286
028XX W ROOSEVELT RD,286
068XX S RIDGELAND AVE,286
008XX W WELLINGTON AVE,284
033XX W LAWRENCE AVE,284
056XX S BISHOP ST,284
0000X W ELM ST,283
004XX E 71ST ST,283
075XX N CLARK ST,283
005XX W MONROE ST,282
011XX W LAWRENCE AVE,282
033XX W MADISON ST,282
053XX N BROADWAY,282
131XX S LANGLEY AVE,282
0000X S LEAMINGTON AVE,281
0000X W 111TH ST,281
003XX E RANDOLPH ST,281
004XX N CLARK ST,281
011XX N LAWNDALE AVE,281
034XX W 63RD ST,281
051XX N DAMEN AVE,281
076XX S ESSEX AVE,281
001XX N LA SALLE ST,280
049XX S KEDZIE AVE,280
094XX S STATE ST,280
006XX E 131ST ST,279
021XX N MILWAUKEE AVE,279
027XX W FLOURNOY ST,279
033XX W HARRISON ST,279
061XX S COTTAGE GROVE AVE,279
081XX S INGLESIDE AVE,279
013XX W 15TH ST,278
015XX N CLYBOURN AVE,278
059XX S ASHLAND AVE,278
002XX W 95TH ST,277
016XX N LAKE SHORE DR,277
035XX N BROADWAY,277
051XX S DR MARTIN LUTHER KING JR DR,277
056XX W DIVISION ST,277
081XX S MAY ST,277
019XX W MADISON ST,276
023XX N MILWAUKEE AVE,276
036XX W 16TH ST,276
0000X S HALSTED ST,275
010XX N LAWNDALE AVE,275
019XX W GARFIELD BLVD,275
